[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],Pressure [ Pa ]
7.50000000e-01, 6.60055542e+00
7.37951815e-01, 6.60567665e+00
7.25903630e-01, 6.60974550e+00
7.13855445e-01, 6.61382198e+00
7.01807261e-01, 6.62230492e+00
6.89759076e-01, 6.63291883e+00
6.77710891e-01, 6.64325237e+00
6.65662706e-01, 6.65557194e+00
6.53614521e-01, 6.67238808e+00
6.41566336e-01, 6.68987703e+00
6.29518151e-01, 6.70904064e+00
6.17469966e-01, 6.72826576e+00
6.05421782e-01, 6.75807762e+00
5.93373597e-01, 6.78879118e+00
5.81325412e-01, 6.81786346e+00
5.69277227e-01, 6.85089159e+00
5.57229042e-01, 6.88391447e+00
5.45180857e-01, 6.91748047e+00
5.33132672e-01, 6.95104599e+00
5.21084487e-01, 6.98461246e+00
5.09036303e-01, 7.01817703e+00
4.96988118e-01, 7.06052589e+00
4.84939933e-01, 7.10455608e+00
4.72891748e-01, 7.14858484e+00
4.60843563e-01, 7.18947601e+00
4.48795378e-01, 7.22721100e+00
4.36747193e-01, 7.28511953e+00
4.24699008e-01, 7.34596252e+00
4.12650824e-01, 7.40680552e+00
4.00602639e-01, 7.46709299e+00
3.88554454e-01, 7.52510595e+00
3.76506269e-01, 7.58238125e+00
3.64458084e-01, 7.63736916e+00
3.52409899e-01, 7.69235849e+00
3.40361714e-01, 7.73900127e+00
3.28313529e-01, 7.78488684e+00
3.16265345e-01, 7.82847977e+00
3.04217160e-01, 7.87207508e+00
2.92168975e-01, 7.91566801e+00
2.80120790e-01, 7.95926189e+00
2.68072605e-01, 8.00285530e+00
2.56024420e-01, 8.04644871e+00
2.43976235e-01, 8.08174992e+00
2.31928051e-01, 8.10992813e+00
2.19879866e-01, 8.13810635e+00
2.07831681e-01, 8.16628361e+00
1.95783496e-01, 8.19446087e+00
1.83735311e-01, 8.22264099e+00
1.71687126e-01, 8.24916458e+00
1.59638941e-01, 8.26788616e+00
1.47590756e-01, 8.28660679e+00
1.35542572e-01, 8.29984760e+00
1.23494379e-01, -5.56150675e-01
1.11446187e-01, -5.58596611e-01
9.93979946e-02, -5.61741471e-01
undef, undef
-5.72285056e-02, -5.34943223e-01
-6.92766979e-02, -5.36839724e-01
-8.13248903e-02, -5.29328287e-01
-9.33730826e-02, -5.17456353e-01
-1.05421275e-01, -3.67838359e+00
-1.17469467e-01, -3.68140459e+00
-1.29517660e-01, -3.68447065e+00
-1.41565859e-01, -3.68744469e+00
-1.53614044e-01, -3.69046474e+00
-1.65662229e-01, -3.69348526e+00
-1.77710414e-01, -3.69417071e+00
-1.89758599e-01, -3.69397116e+00
-2.01806784e-01, -3.69377065e+00
-2.13854969e-01, -3.69357109e+00
-2.25903153e-01, -3.69337130e+00
-2.37951338e-01, -3.69317150e+00
-2.49999523e-01, -3.69297171e+00
-2.62047708e-01, -3.69277167e+00
-2.74095893e-01, -3.69257188e+00
-2.86144078e-01, -3.69237137e+00
-2.98192263e-01, -3.69217157e+00
-3.10240448e-01, -3.69197130e+00
-3.22288632e-01, -3.69177198e+00
-3.34336817e-01, -3.69157195e+00
-3.46385002e-01, -3.69101048e+00
-3.58433187e-01, -3.68895864e+00
-3.70481372e-01, -3.68931651e+00
-3.82529557e-01, -6.27874434e-02
-3.94577742e-01, -6.54166713e-02
-4.06625926e-01, -6.86774254e-02
undef, undef
-5.51204145e-01, -9.96642262e-02
-5.63252330e-01, -9.32723135e-02
-5.75300515e-01, -9.94624123e-02
-5.87348700e-01, -9.03859213e-02
-5.99396884e-01, -7.99053833e-02
-6.11445069e-01, -1.78528643e+00
-6.23493254e-01, -1.83579934e+00
-6.35541439e-01, -1.88704956e+00
-6.47589624e-01, -1.93877888e+00
-6.59637809e-01, -1.99557471e+00
-6.71685994e-01, -2.05234194e+00
-6.83734179e-01, -2.10910892e+00
-6.95782363e-01, -2.16587591e+00
-7.07830548e-01, -2.22264338e+00
-7.19878733e-01, -2.27941036e+00
-7.31926918e-01, -2.33617759e+00
-7.43975103e-01, -2.40460682e+00
-7.56023288e-01, -2.48159528e+00
-7.68071473e-01, -2.55858421e+00
-7.80119658e-01, -2.63557291e+00
-7.92167842e-01, -2.72106433e+00
-8.04216027e-01, -2.81592751e+00
-8.16264212e-01, -2.91079092e+00
-8.28312397e-01, -3.00565362e+00
-8.40360582e-01, -3.10051632e+00
-8.52408767e-01, -3.20556045e+00
-8.64456952e-01, -3.31997633e+00
-8.76505136e-01, -3.43439221e+00
-8.88553321e-01, -3.49881411e+00
-9.00601506e-01, -3.54470348e+00
-9.12649691e-01, -3.62805128e+00
-9.24697876e-01, -3.71139836e+00
-9.36746061e-01, -3.79412436e+00
-9.48794246e-01, -3.87809420e+00
-9.60842431e-01, -3.96144247e+00
-9.72890615e-01, -4.04479027e+00
-9.84938800e-01, -4.13028955e+00
-9.96986985e-01, -4.21847868e+00
-1.00903523e+00, -4.30666780e+00
-1.02108347e+00, -4.39485741e+00
