[Name]
Series 1 at /LINE:Line 1

[Data]
Velocity [ m s^-1 ],Y [ m ]
1.49999971e+01, 7.50000000e-01
1.49825935e+01, 7.37951815e-01
1.49622335e+01, 7.25903630e-01
1.49410858e+01, 7.13855445e-01
1.49068251e+01, 7.01807261e-01
1.48647594e+01, 6.89759076e-01
1.48192987e+01, 6.77710891e-01
1.47669020e+01, 6.65662706e-01
1.46928864e+01, 6.53614521e-01
1.46156502e+01, 6.41566336e-01
1.45339060e+01, 6.29518151e-01
1.44520245e+01, 6.17469966e-01
1.43280182e+01, 6.05421782e-01
1.42002916e+01, 5.93373597e-01
1.40736179e+01, 5.81325412e-01
1.39290237e+01, 5.69277227e-01
1.37833443e+01, 5.57229042e-01
1.36155624e+01, 5.45180857e-01
1.34477825e+01, 5.33132672e-01
1.32800064e+01, 5.21084487e-01
1.31122341e+01, 5.09036303e-01
1.28979416e+01, 4.96988118e-01
1.26749058e+01, 4.84939933e-01
1.24520512e+01, 4.72891748e-01
1.22383938e+01, 4.60843563e-01
1.20338545e+01, 4.48795378e-01
1.16775265e+01, 4.36747193e-01
1.12991867e+01, 4.24699008e-01
1.09209309e+01, 4.12650824e-01
1.05507946e+01, 4.00602639e-01
1.02137136e+01, 3.88554454e-01
9.88775063e+00, 3.76506269e-01
9.59611702e+00, 3.64458084e-01
9.30515003e+00, 3.52409899e-01
8.89355850e+00, 3.40361714e-01
8.47337532e+00, 3.28313529e-01
8.06768990e+00, 3.16265345e-01
7.66206264e+00, 3.04217160e-01
7.25649929e+00, 2.92168975e-01
6.85101366e+00, 2.80120790e-01
6.44562197e+00, 2.68072605e-01
6.04033899e+00, 2.56024420e-01
5.62419653e+00, 2.43976235e-01
5.20433283e+00, 2.31928051e-01
4.78481245e+00, 2.19879866e-01
4.36573267e+00, 2.07831681e-01
3.94723511e+00, 1.95783496e-01
3.52952814e+00, 1.83735311e-01
3.13866305e+00, 1.71687126e-01
2.86977315e+00, 1.59638941e-01
2.60090446e+00, 1.47590756e-01
2.40931153e+00, 1.35542572e-01
3.76437515e-01, 1.23494379e-01
4.37464923e-01, 1.11446187e-01
4.00912881e-01, 9.93979946e-02
undef, undef
1.12296671e-01, -5.72285056e-02
2.16862291e-01, -6.92766979e-02
2.65686214e-01, -8.13248903e-02
2.79375225e-01, -9.33730826e-02
3.16671968e+00, -1.05421275e-01
3.13696337e+00, -1.17469467e-01
3.10761857e+00, -1.29517660e-01
3.07862544e+00, -1.41565859e-01
3.05006790e+00, -1.53614044e-01
3.02193332e+00, -1.65662229e-01
3.03091979e+00, -1.77710414e-01
3.05392194e+00, -1.89758599e-01
3.07697415e+00, -2.01806784e-01
3.10007644e+00, -2.13854969e-01
3.12322712e+00, -2.25903153e-01
3.14642429e+00, -2.37951338e-01
3.16966844e+00, -2.49999523e-01
3.19295764e+00, -2.62047708e-01
3.21629095e+00, -2.74095893e-01
3.23966742e+00, -2.86144078e-01
3.26308656e+00, -2.98192263e-01
3.28654671e+00, -3.10240448e-01
3.31004810e+00, -3.22288632e-01
3.33358908e+00, -3.34336817e-01
3.37229085e+00, -3.46385002e-01
3.47338843e+00, -3.58433187e-01
3.47855473e+00, -3.70481372e-01
1.67395353e-01, -3.82529557e-01
1.72277138e-01, -3.94577742e-01
7.29728639e-02, -4.06625926e-01
undef, undef
3.42712045e-01, -5.51204145e-01
1.37288734e-01, -5.63252330e-01
2.09561378e-01, -5.75300515e-01
1.12020060e-01, -5.87348700e-01
1.24051772e-01, -5.99396884e-01
4.27512026e+00, -6.11445069e-01
4.69445705e+00, -6.23493254e-01
5.05703497e+00, -6.35541439e-01
5.37885571e+00, -6.47589624e-01
5.73362589e+00, -6.59637809e-01
6.09765863e+00, -6.71685994e-01
6.46967936e+00, -6.83734179e-01
6.84838676e+00, -6.95782363e-01
7.23273230e+00, -7.07830548e-01
7.62186146e+00, -7.19878733e-01
8.01507664e+00, -7.31926918e-01
8.48413944e+00, -7.43975103e-01
9.00747395e+00, -7.56023288e-01
9.53134441e+00, -7.68071473e-01
1.00556660e+01, -7.80119658e-01
1.05874653e+01, -7.92167842e-01
1.11274977e+01, -8.04216027e-01
1.16679201e+01, -8.16264212e-01
1.22086792e+01, -8.28312397e-01
1.27497339e+01, -8.40360582e-01
1.32227287e+01, -8.52408767e-01
1.36331224e+01, -8.64456952e-01
1.40438070e+01, -8.76505136e-01
1.43238506e+01, -8.88553321e-01
1.45506916e+01, -9.00601506e-01
1.47647858e+01, -9.12649691e-01
1.49793329e+01, -9.24697876e-01
1.51936226e+01, -9.36746061e-01
1.54097252e+01, -9.48794246e-01
1.56255331e+01, -9.60842431e-01
1.58417253e+01, -9.72890615e-01
1.60907364e+01, -9.84938800e-01
1.63807697e+01, -9.96986985e-01
1.66712532e+01, -1.00903523e+00
1.69621754e+01, -1.02108347e+00
1.72535076e+01, -1.03313172e+00
1.75018349e+01, -1.04517996e+00
1.76183281e+01, -1.05722821e+00
1.77349834e+01, -1.06927645e+00
1.78517895e+01, -1.08132470e+00
1.79687557e+01, -1.09337294e+00
1.81199360e+01, -1.10542119e+00
1.82842045e+01, -1.11746943e+00
1.84486008e+01, -1.12951767e+00
1.86131172e+01, -1.14156592e+00
1.87777538e+01, -1.15361416e+00
1.87843189e+01, -1.16566241e+00
1.87364674e+01, -1.17771065e+00
1.86894779e+01, -1.18975890e+00
1.86433620e+01, -1.20180714e+00
1.85981197e+01, -1.21385539e+00
1.86863918e+01, -1.22590363e+00
1.87987404e+01, -1.23795187e+00
1.89114170e+01, -1.25000012e+00
1.90244255e+01, -1.26204836e+00
1.91377468e+01, -1.27409661e+00
1.92059727e+01, -1.28614485e+00
1.91661625e+01, -1.29819310e+00
1.91264191e+01, -1.31024134e+00
1.90836124e+01, -1.32228959e+00
1.89501438e+01, -1.33433783e+00
1.88167572e+01, -1.34638608e+00
1.86834488e+01, -1.35843432e+00
1.85502338e+01, -1.37048256e+00
1.84171009e+01, -1.38253081e+00
1.82840576e+01, -1.39457905e+00
1.82350845e+01, -1.40662730e+00
1.82213726e+01, -1.41867554e+00
1.82078247e+01, -1.43072379e+00
1.81944427e+01, -1.44277203e+00
1.81831532e+01, -1.45482028e+00
1.82180748e+01, -1.46686852e+00
1.82532520e+01, -1.47891676e+00
1.82886887e+01, -1.49096501e+00
1.83243790e+01, -1.50301325e+00
1.83603230e+01, -1.51506150e+00
1.83965244e+01, -1.52710974e+00
1.83645859e+01, -1.53915799e+00
1.82185745e+01, -1.55120623e+00
1.80877113e+01, -1.56325448e+00
1.79568882e+01, -1.57530272e+00
1.78261089e+01, -1.58735096e+00
1.76953697e+01, -1.59939921e+00
1.75646858e+01, -1.61144745e+00
1.74340401e+01, -1.62349570e+00
1.72772198e+01, -1.63554394e+00
1.70913811e+01, -1.64759219e+00
1.69057922e+01, -1.65964043e+00
1.67204514e+01, -1.67168868e+00
1.65226326e+01, -1.68373692e+00
1.63116226e+01, -1.69578516e+00
1.60825691e+01, -1.70783341e+00
1.57851353e+01, -1.71988165e+00
1.54886551e+01, -1.73192990e+00
1.51931887e+01, -1.74397814e+00
1.49084864e+01, -1.75602639e+00
1.46302519e+01, -1.76807463e+00
1.43436680e+01, -1.78012288e+00
1.40307598e+01, -1.79217112e+00
1.37186213e+01, -1.80421937e+00
1.34073019e+01, -1.81626761e+00
1.30968685e+01, -1.82831585e+00
1.27873802e+01, -1.84036410e+00
1.24512873e+01, -1.85241234e+00
1.20829926e+01, -1.86446059e+00
1.17338266e+01, -1.87650883e+00
1.13908873e+01, -1.88855708e+00
1.10498190e+01, -1.90060532e+00
1.06822414e+01, -1.91265357e+00
1.02820244e+01, -1.92470181e+00
9.87498951e+00, -1.93675005e+00
9.46563435e+00, -1.94879830e+00
9.06071377e+00, -1.96084654e+00
8.66187572e+00, -1.97289479e+00
8.19743061e+00, -1.98494303e+00
7.70866728e+00, -1.99699128e+00
7.22629499e+00, -2.00903940e+00
6.75167561e+00, -2.02108765e+00
6.28656960e+00, -2.03313589e+00
5.76578474e+00, -2.04518414e+00
5.19451284e+00, -2.05723238e+00
4.71262360e+00, -2.06928062e+00
4.46288252e+00, -2.08132887e+00
4.27318525e+00, -2.09337711e+00
4.04260159e+00, -2.10542536e+00
3.88805795e+00, -2.11747360e+00
3.29547095e+00, -2.12952185e+00
2.62159944e+00, -2.14157009e+00
2.20895672e+00, -2.15361834e+00
2.24287844e+00, -2.16566658e+00
2.85523701e+00, -2.17771482e+00
3.45186925e+00, -2.18976307e+00
4.05435610e+00, -2.20181131e+00
4.63568783e+00, -2.21385956e+00
